arm,n_patients,seed,cls,auprc,auroc,recall,spec,thr
frozen_mean,60,0,PED,0.8998579338438304,0.7924523809523809,0.7866666666666666,0.5714285714285714,0.79
frozen_attn,60,1,IRF,0.8430350418514535,0.9258869354668912,0.7542372881355932,0.9472049689440992,0.46
frozen_attn,60,1,SRF,0.9885696964962296,0.9722163358526996,0.8686868686868687,0.972027972027972,0.96
frozen_attn,60,1,PED,0.9356944606214131,0.866095238095238,0.8933333333333333,0.5928571428571429,0.93
frozen_mean,60,1,IRF,0.621536824270954,0.7980840088430361,0.7457627118644068,0.6956521739130435,0.12
frozen_mean,60,1,SRF,0.9802812124337252,0.95279131642768,0.6801346801346801,0.993006993006993,0.9
frozen_mean,60,1,PED,0.9111964807457978,0.8151428571428572,0.67,0.7785714285714286,0.87
frozen_attn,60,2,IRF,0.8045099656861421,0.8901726497526056,0.6271186440677966,0.9565217391304348,0.08
frozen_attn,60,2,SRF,0.9865650471751288,0.9683077864896048,0.8619528619528619,0.9790209790209792,0.81
frozen_attn,60,2,PED,0.8881595654065693,0.8083809523809525,0.87,0.5571428571428572,0.92
frozen_mean,60,2,IRF,0.7161288915740002,0.8403779345194232,0.6271186440677966,0.8881987577639752,0.26
frozen_mean,60,2,SRF,0.9693684370814806,0.9219467401285584,0.8013468013468014,0.958041958041958,0.67
frozen_mean,60,2,PED,0.8692771629294062,0.774595238095238,0.9266666666666666,0.3214285714285714,0.36
frozen_attn,118,0,IRF,0.8109076818767865,0.8919886303821455,0.711864406779661,0.9440993788819876,0.02
frozen_attn,118,1,IRF,0.8015032709720173,0.8881198020844299,0.7033898305084746,0.9440993788819876,0.03
frozen_attn,118,2,IRF,0.8060359356902383,0.8874618380882198,0.6949152542372882,0.9440993788819876,0.03
frozen_attn,118,0,SRF,0.9843361031876612,0.960161051070142,0.8754208754208754,0.972027972027972,0.27
frozen_attn,118,1,SRF,0.9840847226683176,0.9609145063690518,0.8585858585858586,0.9790209790209792,0.75
frozen_attn,118,2,SRF,0.9823162647336164,0.9543924089378636,0.8787878787878788,0.9790209790209792,0.07
frozen_attn,118,0,PED,0.966012174502181,0.9304285714285714,0.9133333333333332,0.7571428571428571,0.98
frozen_attn,118,1,PED,0.9589302040109176,0.9170714285714286,0.9066666666666666,0.75,0.74
frozen_attn,118,2,PED,0.9595818052567682,0.9201904761904762,0.9166666666666666,0.7571428571428571,0.92
frozen_mean,118,0,IRF,0.7071402587099167,0.838219812611854,0.5677966101694916,0.9099378881987578,0.4
frozen_mean,118,1,IRF,0.7071402587099167,0.838219812611854,0.5677966101694916,0.9099378881987578,0.4
frozen_mean,118,2,IRF,0.7071402587099167,0.838219812611854,0.5677966101694916,0.9099378881987578,0.4
frozen_mean,118,0,SRF,0.9705839120982626,0.9302112029384756,0.7373737373737373,0.9790209790209792,0.77
frozen_mean,118,1,SRF,0.9705839120982626,0.9302112029384756,0.7373737373737373,0.9790209790209792,0.77
frozen_mean,118,2,SRF,0.9705839120982626,0.9302112029384756,0.7373737373737373,0.9790209790209792,0.77
frozen_mean,118,0,PED,0.919403568844128,0.825047619047619,0.7866666666666666,0.6214285714285714,0.78
frozen_mean,118,1,PED,0.919403568844128,0.825047619047619,0.7866666666666666,0.6214285714285714,0.78
frozen_mean,118,2,PED,0.919403568844128,0.825047619047619,0.7866666666666666,0.6214285714285714,0.78
last4_mean,15,0,IRF,0.8073876323848657,0.8938572481313822,0.7457627118644068,0.8819875776397516,0.05
last4_mean,15,0,SRF,0.978012204603846,0.9507193143556779,0.5892255892255892,0.993006993006993,0.98
last4_mean,15,0,PED,0.8633723424229458,0.7336309523809523,0.9,0.32857142857142857,0.7100000000000001
last4_mean,15,1,IRF,0.2450982175112318,0.4800768501947573,0.025423728813559324,0.8726708074534162,0.13999999999999999
last4_mean,15,1,SRF,0.9334337229787153,0.8938569847660757,0.8821548821548821,0.7972027972027972,0.91
last4_mean,15,1,PED,0.889726241530935,0.8165833333333333,0.5366666666666666,0.8714285714285714,0.8400000000000001
last4_mean,15,2,IRF,0.7285919818746611,0.8129803137172333,0.4322033898305085,0.9813664596273292,0.46
last4_mean,15,2,SRF,0.8039045179561509,0.6544936544936545,0.367003367003367,0.8811188811188811,0.5700000000000001
last4_mean,15,2,PED,0.815611477630433,0.7345238095238095,0.6033333333333334,0.7785714285714286,0.67
last4_mean,30,0,IRF,0.787772334883916,0.8566428045057375,0.6016949152542372,0.9440993788819876,0.30000000000000004
last4_mean,30,0,SRF,0.984085686788639,0.9605730969367332,0.9393939393939394,0.9090909090909091,0.41000000000000003
last4_mean,30,0,PED,0.8735499531544326,0.7762857142857142,0.7866666666666666,0.5714285714285714,0.76
last4_mean,30,1,IRF,0.4487474745812101,0.7733182440256869,0.5,0.84472049689441,0.12000000000000001
last4_mean,30,1,SRF,0.9824081597782237,0.9619505074050528,0.797979797979798,0.9790209790209791,0.93
last4_mean,30,1,PED,0.9483655712772882,0.8994642857142857,0.65,0.9285714285714286,0.93
last4_mean,30,2,IRF,0.6836374119517855,0.8420096852300242,0.423728813559322,0.9751552795031055,0.66
last4_mean,30,2,SRF,0.9605019596824499,0.921687739869558,0.9158249158249159,0.8321678321678322,0.08
last4_mean,30,2,PED,0.9146047867963233,0.8434404761904762,0.7066666666666667,0.8214285714285714,0.93
last4_mean,60,0,IRF,0.7617939110786406,0.8806058532477103,0.7966101694915254,0.8664596273291926,0.12000000000000001
last4_mean,60,0,SRF,0.9826573378589679,0.9587954133408678,0.8720538720538721,0.9790209790209791,0.5
last4_mean,60,0,PED,0.9605229808423037,0.9105595238095239,0.85,0.8285714285714286,0.8200000000000001
last4_mean,60,1,IRF,0.7786110552909782,0.8922649752605537,0.7796610169491526,0.9192546583850931,0.22
last4_mean,60,1,SRF,0.9839545069114325,0.9615855524946434,0.8080808080808081,0.9790209790209791,0.9500000000000001
last4_mean,60,1,PED,0.9619313174721046,0.9172738095238094,0.7866666666666666,0.9142857142857143,0.8400000000000001
last4_mean,60,2,IRF,0.7636826782750412,0.8639330455837455,0.635593220338983,0.9285714285714286,0.29000000000000004
last4_mean,60,2,SRF,0.9782017500281391,0.9475053565962657,0.8653198653198653,0.972027972027972,0.65
last4_mean,60,2,PED,0.9507634562846552,0.8925952380952382,0.8266666666666667,0.7714285714285715,0.73
last4_mean,118,0,IRF,0.7906341980612468,0.8932256026950205,0.7627118644067796,0.9006211180124224,0.16
last4_mean,118,0,SRF,0.9845604767820557,0.9615973252336889,0.8249158249158249,0.986013986013986,0.8
last4_mean,118,0,PED,0.9595376013195611,0.9100119047619049,0.8033333333333333,0.9,0.8300000000000001
last4_mean,118,1,IRF,0.7910995074142522,0.8912780292662386,0.7372881355932204,0.9037267080745341,0.24
last4_mean,118,1,SRF,0.9838235849013146,0.9579948670857763,0.8181818181818182,0.986013986013986,0.8500000000000001
last4_mean,118,1,PED,0.9687980531313158,0.929702380952381,0.8233333333333334,0.9071428571428571,0.91
last4_mean,118,2,IRF,0.7698045132232999,0.8876197494473103,0.788135593220339,0.8074534161490683,0.07
last4_mean,118,2,SRF,0.9839442518860027,0.9605966424148243,0.8047138047138047,0.9790209790209791,0.8500000000000001
last4_mean,118,2,PED,0.9624506508371671,0.9161666666666666,0.8033333333333333,0.8857142857142857,0.8500000000000001
