encoder,depth,cls,bin,lo_edge,hi_edge,n,recall,sd
RETFound,full,SRF,2,0.21590570190034555,0.5792093186649748,33,0.7373737373737373,0.03499092540543183
RETFound,full,SRF,3,0.5792093186649748,1.5538424037693628,53,0.7672955974842767,0.010893401305464635
RETFound,full,SRF,4,1.5538424037693628,4.168486483119412,109,0.9877675840978594,0.005296791460455315
RETFound,full,SRF,5,4.168486483119412,11.182781160944813,74,1.0,0.0
RETFound,full,PED,1,0.08048087385839177,0.21590570190034555,22,0.4090909090909091,0.09090909090909091
RETFound,full,PED,2,0.21590570190034555,0.5792093186649748,48,0.4791666666666667,0.020833333333333343
RETFound,full,PED,3,0.5792093186649748,1.5538424037693628,85,0.8549019607843137,0.029607193863806867
RETFound,full,PED,4,1.5538424037693628,4.168486483119412,99,0.9259259259259259,0.011663641801810632
RETFound,last4,IRF,2,0.21590570190034555,0.5792093186649748,35,0.8190476190476191,0.07190318509781664
RETFound,last4,IRF,3,0.5792093186649748,1.5538424037693628,33,0.7878787878787877,1.3597399555105182e-16
RETFound,last4,SRF,1,0.08048087385839177,0.21590570190034555,19,0.2456140350877193,0.08039606482378667
RETFound,last4,SRF,2,0.21590570190034555,0.5792093186649748,33,0.5555555555555556,0.034990925405431896
RETFound,last4,SRF,3,0.5792093186649748,1.5538424037693628,53,0.7547169811320754,0.018867924528301938
RETFound,last4,SRF,4,1.5538424037693628,4.168486483119412,109,0.9663608562691133,0.005296791460455315
RETFound,last4,SRF,5,4.168486483119412,11.182781160944813,74,0.9864864864864865,0.0
RETFound,last4,PED,1,0.08048087385839177,0.21590570190034555,22,0.4545454545454546,0.04545454545454544
RETFound,last4,PED,2,0.21590570190034555,0.5792093186649748,48,0.6319444444444445,0.012028130608117225
RETFound,last4,PED,3,0.5792093186649748,1.5538424037693628,85,0.8431372549019608,0.035941770156516374
RETFound,last4,PED,4,1.5538424037693628,4.168486483119412,99,0.9292929292929294,0.02020202020202022
RETFound,lp,IRF,2,0.21590570190034555,0.5792093186649748,35,0.3142857142857143,0.0
RETFound,lp,IRF,3,0.5792093186649748,1.5538424037693628,33,0.7070707070707071,0.0630807878626101
RETFound,lp,SRF,1,0.08048087385839177,0.21590570190034555,19,0.42105263157894735,0.0
RETFound,lp,SRF,2,0.21590570190034555,0.5792093186649748,33,0.42424242424242425,0.030303030303030304
RETFound,lp,SRF,3,0.5792093186649748,1.5538424037693628,53,0.5408805031446541,0.02882123078588578
RETFound,lp,SRF,4,1.5538424037693628,4.168486483119412,109,0.9633027522935779,1.3597399555105182e-16
RETFound,lp,SRF,5,4.168486483119412,11.182781160944813,74,0.9729729729729731,1.3597399555105182e-16
RETFound,lp,PED,1,0.08048087385839177,0.21590570190034555,22,0.24242424242424243,0.1312159702703695
RETFound,lp,PED,2,0.21590570190034555,0.5792093186649748,48,0.48611111111111116,0.0788737270250038
RETFound,lp,PED,3,0.5792093186649748,1.5538424037693628,85,0.7568627450980392,0.033961780540566235
RETFound,lp,PED,4,1.5538424037693628,4.168486483119412,99,0.8585858585858587,0.01010101010101011
Sup-IN21k,last4,IRF,2,0.21590570190034555,0.5792093186649748,35,0.5428571428571428,
Sup-IN21k,last4,IRF,3,0.5792093186649748,1.5538424037693628,33,0.7272727272727273,
Sup-IN21k,last4,SRF,1,0.08048087385839177,0.21590570190034555,19,0.0,
Sup-IN21k,last4,SRF,2,0.21590570190034555,0.5792093186649748,33,0.21212121212121213,
Sup-IN21k,last4,SRF,3,0.5792093186649748,1.5538424037693628,53,0.4339622641509434,
Sup-IN21k,last4,SRF,4,1.5538424037693628,4.168486483119412,109,0.8440366972477065,
Sup-IN21k,last4,SRF,5,4.168486483119412,11.182781160944813,74,0.8108108108108109,
Sup-IN21k,last4,PED,1,0.08048087385839177,0.21590570190034555,22,0.3181818181818182,
Sup-IN21k,last4,PED,2,0.21590570190034555,0.5792093186649748,48,0.4166666666666667,
Sup-IN21k,last4,PED,3,0.5792093186649748,1.5538424037693628,85,0.5647058823529412,
Sup-IN21k,last4,PED,4,1.5538424037693628,4.168486483119412,99,0.7777777777777778,
Sup-IN21k,lp,IRF,2,0.21590570190034555,0.5792093186649748,35,0.6761904761904761,0.016495721976846456
Sup-IN21k,lp,IRF,3,0.5792093186649748,1.5538424037693628,33,0.7373737373737373,0.017495462702715917
Sup-IN21k,lp,SRF,1,0.08048087385839177,0.21590570190034555,19,0.3684210526315789,0.0
Sup-IN21k,lp,SRF,2,0.21590570190034555,0.5792093186649748,33,0.2727272727272727,0.030303030303030304
Sup-IN21k,lp,SRF,3,0.5792093186649748,1.5538424037693628,53,0.45911949685534587,0.02178680261092927
Sup-IN21k,lp,SRF,4,1.5538424037693628,4.168486483119412,109,0.8012232415902142,0.01909785320611132
Sup-IN21k,lp,SRF,5,4.168486483119412,11.182781160944813,74,0.8468468468468467,0.015604061329449378
Sup-IN21k,lp,PED,1,0.08048087385839177,0.21590570190034555,22,0.5454545454545454,0.04545454545454547
Sup-IN21k,lp,PED,2,0.21590570190034555,0.5792093186649748,48,0.625,0.02083333333333337
Sup-IN21k,lp,PED,3,0.5792093186649748,1.5538424037693628,85,0.8627450980392157,0.013584712216226504
Sup-IN21k,lp,PED,4,1.5538424037693628,4.168486483119412,99,0.9158249158249158,0.005831820900905348
